date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2021-09-04T00:00:00+00:00,0,0,0,0,0,0,0,0,0,645512.4172156688,433872.45013252815,0,0,8548.5956463618863194,0,0,119.9190922293983615,0,240.8352680000000000
2021-09-03T00:00:00+00:00,12037.471386657777,0,0,0,0,0,0,0,0,0,818861.5351076989,0,8757.1249629628794921,1132222.210827121192,0,0,0,0,0
2021-09-02T00:00:00+00:00,151322.18037705956,0,97835.6152957473,0,0,0,0,0,0,1090679.998348489,0,0,0,499664.2869150863778443,0,1734.5572924461101401,0,0,0
2021-09-01T00:00:00+00:00,0,1182196.221288269,0,0,0,0,6082.7643490000000000,0,0,911456.0530435966,0,0,12135.4712401509293504,688831.2123239601519772,0,0,1599.1130683900530588,0,184.9477530000000000
2021-08-31T00:00:00+00:00,26778.41526990197,0,0,0,0,0,0,0,0,9804.410981226769,0,0,6525.3030172493308884,359120.066319236469,1114844.898292279809,0,341.5954955905036617,0,0
2021-08-30T00:00:00+00:00,553961.7443428866,0,2191748.8636772586,0,0,0,0,0,0,0,0,0,0,354804.736459793264,207173.601398426543,357581.632318714301,9.9944841092535164,4997.2689890000000000,0
2021-08-29T00:00:00+00:00,0,0,0,0,0,190728.293382000000,160133.029070000000,0,0,820.289151522588,0,0,209549.073649699011,0,102056.850091900444,1391938.455656216584,0,34.9879780000000000,0
2021-08-28T00:00:00+00:00,0,506.19785153600003,29276.5798931034,0,0,0,0,0,0,8759.605890994553,146.8733204634053,1.3067161898737758,0,305293.075476502382,0,0,0,0,322.5382120000000000
2021-08-27T00:00:00+00:00,0,298190.849996292,0,0,0,0,0,0,0,40114.19409466826,0,3086.35514710581,317742.358414098503,386755.1585380163084912,570147.106923311136,0,539.7747626633007456,20426.7900570000000000,0
2021-08-26T00:00:00+00:00,0,311664.97407249,47258.775639927,0,0,0,0,0,0,4147655.676442845,0,1582709.747620671,97704.979661834506,948084.115829146429,221749.696224419131,43020.880315806795,99.9250205707469151,0,499.7627520000000000
